,biome,totChl,isccp_chlor,modis_chlor,baseline,modis_chlor_swath,baseline_swath
0,1,0.5105077512888256,1.574111419845186,1.5545623745149018,1.5579912248358754,1.2616316472126494,1.2203261313859959
0,2,0.7703025134458861,0.8988810442405291,0.922799477490886,1.080442938608948,0.8142700913153935,0.9107895143724046
0,3,0.34942188916510564,0.3039150061660749,0.3141101818057578,0.38918935617790174,0.2980244719250521,0.3553385319072564
0,4,0.10046349951692664,0.09183166459835007,0.09233352434166507,0.09817822825074296,0.09446809655675623,0.10081687846412539
0,5,0.09749025226019775,0.09758603418528417,0.09690259664280113,0.0943366621814946,0.09793807326723183,0.09596268612768635
0,6,0.35563833979528553,0.3553266354721687,0.3456768804709392,0.33741541193389213,0.3461071109130366,0.3362483751474632
0,7,0.08893553067571242,0.08039971910636202,0.08111665697500672,0.08928727037511763,0.08217372895235725,0.09023496623147122
0,8,0.3570778364082937,0.7107931741172713,0.7417388803771673,0.8637926917152459,0.678622806031525,0.8047128545940135
0,9,0.6440634953328995,1.0824677143448294,1.0926215685553495,1.1188186631016384,0.9957636239888059,0.988798097718729
0,10,0.4540156128706576,0.4579709780129421,0.4636714944805614,0.5333073062022514,0.42788802312308066,0.464699522157078
0,11,0.10900402188791398,0.10367395589466952,0.10277753531466323,0.10580863301299197,0.10469294126322905,0.10793345267720744
0,12,0.14496681443172849,0.14444227961794373,0.1425148523282846,0.1355373915210622,0.14136351254830085,0.13553423763079187
0,13,0.140604302273431,0.13249359640275338,0.13160436778287843,0.13807737473629209,0.13153877841975212,0.13796339136896016
0,14,0.1115578238085998,0.10533793168083554,0.10529553315818262,0.10855470644351571,0.1060603683974468,0.10912595409559911
0,15,0.342198711670433,0.442328249721287,0.4357557214845813,0.42144823943812415,0.3816585549765007,0.3539580840452393
0,16,0.2199785292051943,0.42387847678101914,0.39030783644707684,0.35000142876533036,0.3287184070971955,0.2902740198038759
0,17,0.14818703695866436,0.5108507452413893,0.4540583470886225,0.38852524397135274,0.41446964588044616,0.34793262316947093
